Date,JKT,BDG,YKK,SMG,SBY
21/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
22/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
23/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
24/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
25/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
26/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
27/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
28/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
29/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
30/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
31/07/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
01/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
02/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
03/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
04/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
05/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
06/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
07/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
08/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
09/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
10/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
11/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
12/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
13/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
14/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
15/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
16/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 4
17/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
18/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
19/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
20/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
21/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
22/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
23/08/2021,PPKM Level 4,PPKM Level 4,PPKM Level 4,PPKM Level 3,PPKM Level 4
24/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
25/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
26/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
27/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
28/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
29/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
30/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 3
31/08/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
01/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
02/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
03/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
04/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
05/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
06/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 4,PPKM Level 2,PPKM Level 3
07/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
08/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
09/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
10/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
11/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
12/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
13/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
14/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
15/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
16/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
17/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
18/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
19/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
20/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
21/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
22/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
23/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
24/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
25/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
26/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
27/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
28/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
29/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
30/09/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
01/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
02/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
03/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
04/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
05/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
06/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
07/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
08/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
09/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
10/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
11/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
12/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
13/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
14/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
15/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
16/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
17/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
18/10/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
19/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
20/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
21/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
22/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
23/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
24/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
25/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
26/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
27/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
28/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
29/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
30/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
31/10/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
01/11/2021,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
02/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
03/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
04/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
05/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
06/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
07/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
08/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
09/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
10/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
11/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
12/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
13/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
14/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
15/11/2021,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1,PPKM Level 1
16/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
17/11/2021,PPKM Level 1,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
